REDW 8.140 0.75 P
IMW 9.310 1 P
FLWY 10.40 0.75 P
YPP 14.18 0.75 P
MCID 15.48 0.75 P
B944 15.68 0.25 P
YLT 16.43 0.5 P
ECR 16.85 0.5 P
# 2010 08 05 04 22 21.41 43.563 -110.433333333333   6.0 0.00 11.3  2.6 0.16 19
LOHW 3.570 1 P
REDW 8.150 1 P
IMW 9.930 1 P
FLWY 11.20 1 P
YPP 15.03 1 P
MCID 16.33 0.75 P
B944 16.33 0.5 P
YTP 16.35 0.75 P
ECR 16.47 0.75 P
YLT 17.41 0.75 P
YFT 18.40 0.75 P
# 2010 08 07 14 36 13.55 43.6081666666667 -110.461666666667   8.1 0.00  9.7 10.0 0.16 20
LOHW 3.179 0.75 P
REDW 8.159 0.75 P
IMW 9.25 1 P
FLWY 10.03 0.5 P
YPP 14.11 0.5 P
MCID 15.55 0.5 P
YLT 16.69 0.25 P
ECR 16.75 0.5 P
# 2010 08 07 15 31 59.75 43.5866666666667 -110.436666666667   2.9 0.00  7.6  2.9 0.13 21
LOHW 3.459 0.75 P
REDW 8.219 0.75 P
IMW 9.770 0.75 P
FLWY 11.07 0.75 P
YPP 14.81 0.75 P
B944 15.97 0.5 P
MCID 16.20 0.75 P
YTP 16.16 0.5 P
YLT 17.13 0.5 P
ECR 17.26 0.5 P
# 2010 08 05 15 14  7.10 43.604 -110.438333333333   1.4 0.00  5.0  2.2 0.17 22
LOHW 3.450 0.75 P
REDW 8.490 0.75 P
IMW 9.770 1 P
FLWY 10.88 1 P
YPP 14.70 0.75 P
B944 16.21 0.75 P
MCID 16.09 1 P
YTP 15.89 0.75 P
YLT 17.19 0.75 P
ECR 17.68 0.75 P
# 2010 08 06 05 33 14.06 43.5961666666667 -110.433333333333   4.9 0.00  8.7  3.2 0.14 23
LOHW 3.439 0.75 P
REDW 8.319 1 P
IMW 9.609 1 P
FLWY 10.64 1 P
YPP 14.47 1 P
B944 15.92 0.75 P
YTP 15.69 0.5 P
MCID 15.96 0.5 P
ECR 17.09 0.75 P
YFT 17.98 0.5 P
# 2010 08 05 15 24 56.39 43.6033333333333 -110.453333333333   4.8 0.00 11.1 10.9 0.13 24
LOHW 3.149 0.75 P
REDW 8.149 0.5 P
IMW 9.349 1 P
FLWY 10.44 0.75 P
YPP 14.39 0.5 P
MCID 15.70 1 P
# 2010 08 05 15 30 26.74 43.6056666666667 -110.485   4.3 0.00  7.4  8.6 0.09 25
LOHW 2.679 0.75 P
REDW 7.929 0.5 P
IMW 9.119 1 P
FLWY 10.36 0.5 P
YPP 14.17 0.75 P
MCID 15.54 0.25 P
B944 15.55 0.25 P
# 2010 08 05 15 42 55.75 43.6105 -110.531666666667   4.9 0.00  3.0  6.2 0.16 26
LOHW 2.130 0.75 P
REDW 7.520 0.75 P
IMW 8.619 1 P
FLWY 9.909 0.5 P
YPP 13.72 0.75 P
MCID 15.05 0.5 P
B944 15.69 0.5 P
# 2010 08 05 15 48 32.33 43.6211666666667 -110.483333333333   3.2 0.00  6.0  8.5 0.14 27
LOHW 2.679 0.75 P
REDW 8.209 0.5 P
IMW 8.950 1 P
FLWY 10.15 0.75 P
YPP 13.98 0.5 P
MCID 15.36 1 P
# 2010 08 05 15 46 43.30 43.6056666666667 -110.465   2.9 0.00  6.8  4.8 0.11 28
LOHW 2.940 0.75 P
REDW 8.230 0.75 P
IMW 9.369 1 P
FLWY 10.48 0.75 P
YPP 14.35 0.75 P
MCID 15.76 0.75 P
B944 15.77 0.75 P
# 2010 08 06 17 47  8.66 43.5926666666667 -110.47   5.0 0.00  8.5 10.7 0.12 29
LOHW 2.969 1 P
REDW 7.849 1 P
IMW 9.309 1 P
FLWY 10.57 0.75 P
YPP 14.44 0.75 P
MCID 15.76 0.5 P
# 2010 08 05 16 30 34.64 43.601 -110.413333333333   1.1 0.00  7.9  2.2 0.12 30
LOHW 3.869 0.75 P
REDW 8.940 1 P
IMW 10.10 1 P
FLWY 11.07 1 P
YPP 14.95 1 P
YTP 16.02 0.75 P
MCID 16.44 1 P
YLT 17.20 0.75 P
ECR 17.71 1 P
# 2010 08 06 07 13 56.01 43.5998333333333 -110.415   3.0 0.00  8.9  2.3 0.11 31
LOHW 3.699 0.75 P
REDW 8.640 1 P
IMW 9.849 1 P
FLWY 10.85 1 P
YPP 14.75 1 P
B944 15.93 0.75 P
YTP 15.84 0.75 P
MCID 16.19 1 P
ECR 17.43 0.75 P
# 2010 08 05 19 41 11.61 43.6045 -110.453333333333   2.7 0.00  6.5  3.2 0.12 32
LOHW 3.119 0.75 P
REDW 8.350 0.5 P
IMW 9.450 1 P
FLWY 10.70 0.75 P
YPP 14.61 0.5 P
MCID 15.79 1 P
B944 15.82 0.5 P
YTP 15.80 0.5 P
# 2010 08 05 23 06 31.58 43.6081666666667 -110.416666666667   3.1 0.00  9.9  3.4 0.12 33
LOHW 3.639 0.75 P
REDW 8.690 0.75 P
IMW 9.820 1 P
FLWY 10.80 0.75 P
YPP 14.76 0.75 P
YTP 15.58 0.5 P
MCID 15.77 0.5 P
