20100817   092217.54   43.5915   -110.413333333333     0.0   0.00    7.3    2.1   0.12   62
20100817   174049.70   43.5986666666667   -110.465     2.8   0.00    7.1    8.9   0.09   63
20100819   003445.47   43.6081666666667   -110.443333333333     3.9   0.00   10.2    9.4   0.11   64
20100821   0647 2.13   43.6056666666667   -110.41     0.5   0.00    9.9    5.4   0.15   65
20100821   133619.59   43.5986666666667   -110.478333333333     5.0   0.00    6.5    6.0   0.16   66
20100822   123436.52   43.6056666666667   -110.433333333333     5.0   0.00   10.7    3.3   0.07   67
20100819   062211.79   43.5986666666667   -110.443333333333     2.6   0.00    7.2    2.7   0.14   68
20100823   034130.16   43.601   -110.471666666667     5.0   0.00    7.7    6.6   0.16   69
20100819   192957.22   43.6081666666667   -110.416666666667     1.9   0.00   10.3    4.9   0.11   70
20100826   021650.50   43.6056666666667   -110.436666666667     4.4   0.00    9.5    3.5   0.12   71
20100820   120748.93   43.6105   -110.465     5.0   0.00    7.6    5.0   0.13   72
20100821   055615.28   43.6128333333333   -110.45     5.6   0.00   10.7    6.2   0.14   73
20100825   1732 2.72   43.6056666666667   -110.38    -1.4   0.00    9.5    2.4   0.11   74
20100825   212251.86   43.614   -110.408333333333     1.3   0.00    8.4    2.2   0.18   75
20100825   212114.72   43.6021666666667   -110.391666666667     4.1   0.00   13.5    3.1   0.16   76
20100826   005156.31   43.6105   -110.433333333333     5.0   0.00    9.6    5.1   0.12   77
20100827   2202 8.36   43.6235   -110.48     4.9   0.00    7.1    8.4   0.16   78
20100829   222028.50   43.6176666666667   -110.39    -0.9   0.00    9.0    7.8   0.21   79
20100904   140113.72   43.6033333333333   -110.481666666667     7.1   0.00    6.6    5.3   0.14   80
20100902   160146.56   43.601   -110.455     5.0   0.00    7.9    3.1   0.10   81
20100903   101814.58   43.5961666666667   -110.423333333333     3.7   0.00    9.0    2.2   0.17   82
20100904   011048.19   43.6021666666667   -110.456666666667     3.9   0.00    7.5    4.5   0.15   83
20100907   040630.86   43.5866666666667   -110.46     4.0   0.00    6.0    2.5   0.12   84
20100908   213937.80   43.6151666666667   -110.563333333333     6.9   0.00    2.8   14.1   0.03   85
20100909   0522 1.35   43.6188333333333   -110.453333333333     5.0   0.00   10.1   10.5   0.15   86
20100913   005423.31   43.5225   -110.505     2.9   0.00    7.8   11.7   0.08   87
